 101  57.0  -77.0 10 RICHMOND GULF QUE.
  700.0  200.0   10.0    1.4
 1400.0  200.0   20.0    3.0
 1700.0  200.0   27.0    4.0
 2400.0  200.0   33.0    4.9
 3400.0  200.0   60.0    8.9
 4100.0  200.0   80.0   11.9
 5400.0  200.0  125.0   18.7
 6400.0  200.0  145.0   21.7
 7200.0  200.0  197.0   29.5
 8300.0  300.0  256.0   38.4
 102  53.0  -79.0  7 JAMES BAY QUE.                
 1000.0  200.0   15.0    2.2
 2000.0  200.0   30.0    4.5
 3000.0  200.0   50.0    7.4
 4000.0  200.0   80.0   11.9
 5000.0  200.0  105.0   15.7
 6000.0  200.0  155.0   23.2
 7000.0  200.0  250.0   37.5
 103  55.0  -82.5  7 C. HENRIETTA MARIA ONT.       
 1000.0  200.0   16.0    3.0
 2000.0  200.0   34.0    5.0
 3000.0  200.0   51.0    7.6
 4000.0  200.0   69.0   10.3
 5000.0  200.0   90.0   13.4
 6000.0  200.0  115.0   17.2
 7000.0  200.0  138.0   20.6
 104  58.0  -94.0  7 CHURCHILL MAN.                
 1000.0  200.0    8.0    3.0
 2000.0  200.0   21.0    3.1
 3000.0  200.0   36.0    5.3
 4000.0  200.0   54.0    8.0
 5000.0  200.0   74.0   11.0
 6000.0  200.0  100.0   14.9
 7000.0  200.0  133.0   19.9
 105  64.5  -95.0  4 KEEWATIN NWT.                 
 4000.0  200.0   60.0    8.9
 5000.0  200.0   77.0   11.5
 6000.0  200.0  103.0   15.4
 7000.0  200.0  140.0   20.9
 106  59.8  -80.3 10 OTTAWA IS. NWT.               
 1000.0  200.0    2.0    2.0
 1200.0  200.0    2.0    1.0
 2000.0  200.0    7.0    2.0
 3000.0  200.0   16.0    3.0
 3500.0  200.0   10.0    1.4
 4000.0  200.0   29.0    4.3
 5000.0  200.0   47.0    7.0
 6000.0  200.0   76.0   11.3
 6600.0  200.0   94.0   14.0
 7000.0  200.0  124.0   20.0
 107  64.5  -84.0  7 SOUTHAMPTON IS. NWT.          
 1000.0  200.0    5.0    2.0
 2000.0  200.0   10.0    3.0
 3000.0  200.0   21.0    5.0
 4000.0  200.0   38.0    6.0
 5000.0  200.0   63.0    9.4
 6000.0  200.0   97.0   14.5
 7000.0  200.0  130.0   19.4
 108  62.0  -75.0  7 UNGAVA PEN. QUE.              
 1000.0  200.0    1.0    1.0
 2000.0  200.0    3.0    1.0
 3000.0  200.0    6.0    2.0
 4000.0  200.0   13.0    3.0
 5000.0  200.0   29.0    4.3
 6000.0  200.0   51.0    7.6
 7000.0  200.0  110.0   16.4
 109  53.0  -60.0  7 GOOSE BAY LAB.                
 1600.0  200.0    9.0    1.3
 2000.0  200.0   10.0    1.4
 2100.0  200.0   11.0    1.6
 3100.0  200.0   24.0    3.6
 4800.0  200.0   30.0    4.5
 5300.0  200.0   33.0    4.9
 6000.0  200.0  110.0   16.4
 110  54.2  -58.0  7 HAMILTON INLET LAB.           
 2300.0  200.0    4.0    1.0
 2500.0  200.0    5.0    1.0
 3800.0  200.0    7.0    1.0
 4500.0  200.0    8.0    1.1
 5100.0  200.0   15.0    2.2
 5400.0  200.0   12.0    1.8
 8600.0  300.0   50.0    7.4
 111  63.0  -70.0  4 C. TANFIELD BAF.              
 1000.0  200.0    1.0    1.0
 2000.0  200.0    2.0    1.0
 4000.0  200.0    6.0    3.0
 8000.0  300.0   80.0   20.0
 112  62.3  -66.3  6 JACKMAN SOUND BAF.            
 8000.0  300.0    9.5    1.4
 8200.0  300.0   29.0    4.3
 8300.0  300.0   20.0    3.0
 8500.0  300.0   46.0    6.8
 8600.0  300.0   38.0    5.6
 8900.0  500.0   69.0   10.3
 113  62.8  -65.5  8 WARWICK SOUND BAF.            
 1400.0  300.0   -5.0    1.0
 8800.0  300.0   29.0    4.3
 8900.0  300.0   17.0    2.5
 9100.0  300.0   26.0    3.9
 9200.0  300.0   15.0    2.2
 9500.0  300.0   42.0    6.2
10100.0  400.0   73.0   10.9
10800.0  400.0   79.0   11.8
 114  63.7  -68.6  6 BURTON BAY BAF.               
 4100.0  200.0   15.0    2.2
 6100.0  200.0   15.0    2.2
 6800.0  200.0   27.0    4.0
 7100.0  200.0   26.0    3.9
 7500.0  300.0   43.0    6.4
 8200.0  300.0   95.0   14.2
 115  67.4  -65.0  3 MAKTAK FIORD BAF.             
  900.0  200.0    5.0    1.0
 5300.0  900.0   18.0    2.7
 6300.0  200.0   19.0    2.8
 116  67.5  -64.0  2 BROUGHTON IS. BAF.            
 5300.0  500.0   27.0    4.0
 9900.0  300.0    3.0    1.0
 117  67.7  -65.4  5 NARPAING FIORD BAF.           
  600.0  200.0    1.0    1.0
 3500.0  200.0    4.0    1.0
 4900.0  200.0   11.0    1.6
 6800.0  200.0   18.0    2.7
 8000.0  300.0   47.0    7.0
 118  68.0  -66.0  2 OKOA FIORD BAF.               
 4800.0  200.0    9.0    1.3
 8400.0  300.0   49.0    7.3
 119  67.5  -66.0  2 NEOLUKSEAK FIORD BAF.         
 4800.0  200.0    8.0    3.0
 7900.0  300.0   40.0    5.9
 120  69.0  -68.7  4 HOME BAY BAF.                 
 3600.0  200.0    5.0    2.0
 6100.0  200.0   24.0    4.0
 8300.0  300.0   75.0   11.2
 8400.0  300.0   75.0   11.2
 121  70.0  -68.0  4 INUGSUIN FIORD BAF.           
 6000.0  200.0    8.0    4.0
 7000.0  200.0   13.0    4.0
 8000.0  300.0   21.0    4.0
 9000.0  300.0   28.0    4.2
 122  70.0  -71.5  6 SAM FORD FIORD BAF.           
 3000.0  200.0    7.0    2.0
 4000.0  200.0   12.0    2.0
 5000.0  200.0   19.0    3.0
 6000.0  200.0   28.0    4.2
 7000.0  200.0   41.0    6.1
 8000.0  300.0   60.0    8.9
 123  71.4  -74.6  3 CAMBRIDGE FIORD BAF.          
 7300.0  200.0   21.0    3.1
 7800.0  300.0   73.0   10.9
 8100.0  300.0   26.0    3.9
 124  72.3  -79.0  7 TAY SOUND BAF.                
 2000.0  200.0    3.0    3.0
 3000.0  200.0    6.0    4.0
 4000.0  200.0   15.0    6.0
 5000.0  200.0   30.0    9.0
 6000.0  200.0   45.0   12.0
 7000.0  200.0   63.0   12.0
 8000.0  300.0   87.0   15.0
 125  72.0  -80.0  6 MILNE INLET BAF.              
 3000.0  200.0   14.0    5.0
 4000.0  200.0   23.0    7.0
 5000.0  200.0   36.0    7.0
 6000.0  200.0   52.0    7.7
 7000.0  200.0   66.0    9.8
 8000.0  300.0   83.0   12.4
 126  69.0  -74.0  6 BAIRD PEN. BAF.               
 2000.0  200.0    8.0    2.0
 3000.0  200.0   16.0    2.4
 4000.0  200.0   27.0    4.0
 5000.0  200.0   44.0    6.5
 6000.0  200.0   69.0   10.3
 7000.0  200.0  109.0   16.3
 127  69.0  -75.5  6 IPIK BAY BAF.                 
 1000.0  200.0    3.0    2.0
 2000.0  200.0    8.0    2.0
 3000.0  200.0   14.0    4.0
 4000.0  200.0   23.0    5.0
 5000.0  200.0   43.0   10.0
 6000.0  200.0   73.0   11.0
 128  70.9  -86.7  3 AGU BAY BAF.                  
 7200.0  200.0   90.0   13.4
 7700.0  300.0   98.0   14.6
 8800.0  300.0  121.0   18.1
 129  71.0  -85.0  4 BRODEUR PEN. BAF.             
  900.0  200.0    3.0    1.0
 7000.0  200.0   93.0   13.9
 7600.0  300.0   90.0   13.4
 8700.0  300.0  122.0   18.2
 130  69.5  -82.0  5 N. MELVILLE PEN.              
  600.0  200.0    4.0    1.0
 1100.0  200.0    7.0    1.0
 2900.0  200.0   20.0    3.0
 4000.0  200.0   24.0    3.6
 8000.0  300.0  168.0   25.1
 131  69.0  -82.0  7 IGLOOLIK IS. NWT.             
 1000.0  200.0    6.0    2.0
 2000.0  200.0   14.0    3.0
 3000.0  200.0   24.0    5.0
 4000.0  200.0   36.0    6.0
 5000.0  200.0   53.0   13.0
 6000.0  200.0   80.0   20.0
 7000.0  200.0  135.0   20.2
 132  69.0  -92.0  5 BOOTHIA PEN. NWT.             
 4000.0  200.0   22.0    3.3
 5000.0  200.0   29.0    4.3
 6000.0  200.0   40.0    5.9
 7000.0  200.0   52.0    8.0
 8000.0  300.0  100.0   25.0
 133  67.5 -107.0  8 BATHURST INLET NWT.           
 1000.0  200.0    1.0    2.0
 2000.0  200.0    8.0    5.0
 3000.0  200.0   16.0    5.0
 4000.0  200.0   27.0    7.0
 5000.0  200.0   44.0   11.0
 6000.0  200.0   65.0   13.0
 7000.0  200.0   95.0   15.0
 8000.0  300.0  145.0   25.0
 134  70.0 -133.0  4 TUKTOYAKTUK PEN. NWT.         
 3700.0  200.0  -20.5    3.0
 6600.0  200.0  -29.6    4.4
 7700.0  300.0  -41.7    6.2
 8800.0  300.0  -41.9    6.2
 135  72.8  -93.6  6 S. SOMERSET IS.               
 4000.0  200.0   18.0    3.0
 5000.0  200.0   22.0    5.0
 6000.0  200.0   30.0    5.0
 7000.0  200.0   36.0    6.0
 8000.0  300.0   47.0    7.0
 9000.0  300.0   90.0   23.0
 136  74.0  -93.7  9 N. SOMERSET IS.               
 1000.0  200.0    3.0    2.0
 2000.0  200.0    6.0    2.0
 3000.0  200.0    9.0    3.0
 4000.0  200.0   12.0    4.0
 5000.0  200.0   17.0    5.0
 6000.0  200.0   22.0    6.0
 7000.0  200.0   28.0    7.0
 8000.0  300.0   44.0    8.0
 9000.0  300.0   92.0   20.0
 137  73.7  -99.0  4 N. PRINCE OF WALES IS.        
 9500.0  300.0   88.0   13.1
 9800.0  300.0   95.0   14.2
10400.0  400.0  120.0   17.9
11000.0  400.0  133.0   30.0
 138  73.0 -111.0  3 N. VICTORIA IS.               
 9900.0  300.0   41.0    6.1
11400.0  400.0   82.0   12.2
11800.0  400.0  105.0   15.7
 139  75.0 -109.0  6 S. MELVILLE IS.               
  600.0  200.0    1.6    1.0
 1200.0  200.0    1.8    1.0
 1700.0  200.0    1.8    1.0
 9500.0  300.0   38.0    5.6
10500.0  400.0   60.0    8.9
11500.0  400.0   80.0   11.9
 140  76.0 -100.0  6 BATHURST IS.                  
 4000.0  200.0   27.0    8.0
 5000.0  200.0   38.0   12.0
 6000.0  200.0   50.0   16.0
 7000.0  200.0   65.0   18.0
 8000.0  300.0   80.0   20.0
 9000.0  300.0  120.0   30.0
 141  75.0  -95.0  6 CORNWALLIS IS.                
 4000.0  200.0   21.0    6.0
 5000.0  200.0   27.0    7.0
 6000.0  200.0   35.0    8.0
 7000.0  200.0   48.0    9.0
 8000.0  300.0   70.0   13.0
 9000.0  300.0  110.0   30.0
 142  76.0  -90.0  1 BOAT PT. DEV.                 
 5200.0  200.0   26.5    3.9
 143  75.6  -84.6  4 TRUELOVE INLET DEV.           
 2400.0  200.0    3.0    1.0
 2900.0  200.0    4.0    1.0
 5200.0  200.0   12.0    1.8
 8100.0  300.0   43.0    6.4
 144  76.5  -88.0  8 C. STORM ELL.                 
 1000.0  200.0    3.0    1.0
 2000.0  200.0    6.0    1.0
 3000.0  200.0   10.0    1.5
 4000.0  200.0   13.5    2.0
 5000.0  200.0   21.0    3.1
 6000.0  200.0   30.0    4.5
 7000.0  200.0   40.0    5.9
 8000.0  300.0   59.0    8.8
 145  76.5  -84.0  7 S. CAPE FIORD ELL.            
 2000.0  200.0    4.5    1.0
 3000.0  200.0    8.0    1.5
 4000.0  200.0   13.5    2.0
 5000.0  200.0   20.0    3.0
 6000.0  200.0   25.5    3.8
 7000.0  200.0   38.0    5.6
 8000.0  300.0   57.0    8.5
 146  78.5  -86.0  8 BAY FIORD ELL.                
 1000.0  200.0    2.0    1.0
 2000.0  200.0    5.5    2.0
 3000.0  200.0   12.0    3.0
 4000.0  200.0   17.0    4.0
 5000.0  200.0   27.0    5.0
 6000.0  200.0   36.0    8.0
 7000.0  200.0   55.0    8.2
 8000.0  300.0   88.0   13.1
 147  80.0  -88.0  9 E. AXEL HEIBERG IS.           
 1000.0  200.0    5.0    2.0
 2000.0  200.0   11.0    3.0
 3000.0  200.0   18.0    5.0
 4000.0  200.0   24.0    6.0
 5000.0  200.0   35.0    7.0
 6000.0  200.0   45.0    7.0
 7000.0  200.0   61.0    9.1
 8000.0  300.0   93.0   13.9
 9000.0  300.0  140.0   30.0
 148  81.0  -78.0  4 TANQUARY FIORD ELL.           
 4200.0  200.0    9.0    1.3
 5700.0  200.0   13.0    2.0
 6300.0  200.0   25.0    5.0
 6800.0  200.0   56.0    8.3
