 101  57.0  -77.0 10 RICHMOND GULF QUE.    
  833.0000  200.0000   10.0000    1.4000
 1666.0001  200.0000   20.0000    3.0000
 2023.0001  200.0000   27.0000    4.0000
 2856.0001  200.0000   33.0000    4.9000
 4046.0002  200.0000   60.0000    8.9000
 4879.0002  200.0000   80.0000   11.9000
 6426.0003  200.0000  125.0000   18.7000
 7616.0004  200.0000  145.0000   21.7000
 8568.0004  200.0000  197.0000   29.5000
 9877.0005  300.0000  256.0000   38.4000
 102  53.0  -79.0  7 JAMES BAY QUE.        
 1190.0001  200.0000   15.0000    2.2000
 2380.0001  200.0000   30.0000    4.5000
 3570.0002  200.0000   50.0000    7.4000
 4760.0002  200.0000   80.0000   11.9000
 5950.0003  200.0000  105.0000   15.7000
 7140.0003  200.0000  155.0000   23.2000
 8330.0004  200.0000  250.0000   37.5000
 103  55.0  -82.5  7 C. HENRIETTA MARIA ONT
 1190.0001  200.0000   16.0000    3.0000
 2380.0001  200.0000   34.0000    5.0000
 3570.0002  200.0000   51.0000    7.6000
 4760.0002  200.0000   69.0000   10.3000
 5950.0003  200.0000   90.0000   13.4000
 7140.0003  200.0000  115.0000   17.2000
 8330.0004  200.0000  138.0000   20.6000
 104  58.0  -94.0  7 CHURCHILL MAN.        
 1190.0001  200.0000    8.0000    3.0000
 2380.0001  200.0000   21.0000    3.1000
 3570.0002  200.0000   36.0000    5.3000
 4760.0002  200.0000   54.0000    8.0000
 5950.0003  200.0000   74.0000   11.0000
 7140.0003  200.0000  100.0000   14.9000
 8330.0004  200.0000  133.0000   19.9000
 105  64.5  -95.0  4 KEEWATIN NWT.         
 4760.0002  200.0000   60.0000    8.9000
 5950.0003  200.0000   77.0000   11.5000
 7140.0003  200.0000  103.0000   15.4000
 8330.0004  200.0000  140.0000   20.9000
 106  59.8  -80.3 10 OTTAWA IS. NWT.       
 1190.0001  200.0000    2.0000    2.0000
 1428.0001  200.0000    2.0000    1.0000
 2380.0001  200.0000    7.0000    2.0000
 3570.0002  200.0000   16.0000    3.0000
 4165.0002  200.0000   10.0000    1.4000
 4760.0002  200.0000   29.0000    4.3000
 5950.0003  200.0000   47.0000    7.0000
 7140.0003  200.0000   76.0000   11.3000
 7854.0004  200.0000   94.0000   14.0000
 8330.0004  200.0000  124.0000   20.0000
 107  64.5  -84.0  7 SOUTHAMPTON IS. NWT.  
 1190.0001  200.0000    5.0000    2.0000
 2380.0001  200.0000   10.0000    3.0000
 3570.0002  200.0000   21.0000    5.0000
 4760.0002  200.0000   38.0000    6.0000
 5950.0003  200.0000   63.0000    9.4000
 7140.0003  200.0000   97.0000   14.5000
 8330.0004  200.0000  130.0000   19.4000
 108  62.0  -75.0  7 UNGAVA PEN. QUE.      
 1190.0001  200.0000    1.0000    1.0000
 2380.0001  200.0000    3.0000    1.0000
 3570.0002  200.0000    6.0000    2.0000
 4760.0002  200.0000   13.0000    3.0000
 5950.0003  200.0000   29.0000    4.3000
 7140.0003  200.0000   51.0000    7.6000
 8330.0004  200.0000  110.0000   16.4000
 109  53.0  -60.0  7 GOOSE BAY LAB.        
 1904.0001  200.0000    9.0000    1.3000
 2380.0001  200.0000   10.0000    1.4000
 2499.0001  200.0000   11.0000    1.6000
 3689.0002  200.0000   24.0000    3.6000
 5712.0003  200.0000   30.0000    4.5000
 6307.0003  200.0000   33.0000    4.9000
 7140.0003  200.0000  110.0000   16.4000
 110  54.2  -58.0  7 HAMILTON INLET LAB.   
 2737.0001  200.0000    4.0000    1.0000
 2975.0001  200.0000    5.0000    1.0000
 4522.0002  200.0000    7.0000    1.0000
 5355.0003  200.0000    8.0000    1.1000
 6069.0003  200.0000   15.0000    2.2000
 6426.0003  200.0000   12.0000    1.8000
10234.0005  300.0000   50.0000    7.4000
 111  63.0  -70.0  4 C. TANFIELD BAF.      
 1190.0001  200.0000    1.0000    1.0000
 2380.0001  200.0000    2.0000    1.0000
