 101  57.0  -77.0 10 RICHMOND GULF QUE.    
  644.1911  200.0000   10.0000    1.4000
 1296.5392  200.0000   20.0000    3.0000
 1636.9475  200.0000   27.0000    4.0000
 2455.3263  200.0000   33.0000    4.9000
 3669.3782  200.0000   60.0000    8.9000
 4544.6891  200.0000   80.0000   11.9000
 6245.1986  200.0000  125.0000   18.7000
 7361.6386  200.0000  145.0000   21.7000
 7993.0153  200.0000  197.0000   29.5000
 9193.3596  300.0000  256.0000   38.4000
 102  53.0  -79.0  7 JAMES BAY QUE.        
  969.9618  200.0000   15.0000    2.2000
 2020.9752  200.0000   30.0000    4.5000
 3153.6864  200.0000   50.0000    7.4000
 4387.7405  200.0000   80.0000   11.9000
 5721.0440  200.0000  105.0000   15.7000
 6860.0804  200.0000  155.0000   23.2000
 7818.8277  200.0000  250.0000   37.5000
 103  55.0  -82.5  7 C. HENRIETTA MARIA ONT
  969.9618  200.0000   16.0000    3.0000
 2020.9752  200.0000   34.0000    5.0000
 3153.6864  200.0000   51.0000    7.6000
 4387.7405  200.0000   69.0000   10.3000
 5721.0440  200.0000   90.0000   13.4000
 6860.0804  200.0000  115.0000   17.2000
 7818.8277  200.0000  138.0000   20.6000
 104  58.0  -94.0  7 CHURCHILL MAN.        
  969.9618  200.0000    8.0000    3.0000
 2020.9752  200.0000   21.0000    3.1000
 3153.6864  200.0000   36.0000    5.3000
 4387.7405  200.0000   54.0000    8.0000
 5721.0440  200.0000   74.0000   11.0000
 6860.0804  200.0000  100.0000   14.9000
 7818.8277  200.0000  133.0000   19.9000
 105  64.5  -95.0  4 KEEWATIN NWT.         
 4387.7405  200.0000   60.0000    8.9000
 5721.0440  200.0000   77.0000   11.5000
 6860.0804  200.0000  103.0000   15.4000
 7818.8277  200.0000  140.0000   20.9000
 106  59.8  -80.3 10 OTTAWA IS. NWT.       
  969.9618  200.0000    2.0000    2.0000
 1133.2505  200.0000    2.0000    1.0000
 2020.9752  200.0000    7.0000    2.0000
 3153.6864  200.0000   16.0000    3.0000
 3799.0000  200.0000   10.0000    1.4000
 4387.7405  200.0000   29.0000    4.3000
 5721.0440  200.0000   47.0000    7.0000
 6860.0804  200.0000   76.0000   11.3000
 7579.3319  200.0000   94.0000   14.0000
 7818.8277  200.0000  124.0000   20.0000
 107  64.5  -84.0  7 SOUTHAMPTON IS. NWT.  
  969.9618  200.0000    5.0000    2.0000
 2020.9752  200.0000   10.0000    3.0000
 3153.6864  200.0000   21.0000    5.0000
 4387.7405  200.0000   38.0000    6.0000
 5721.0440  200.0000   63.0000    9.4000
 6860.0804  200.0000   97.0000   14.5000
 7818.8277  200.0000  130.0000   19.4000
 108  62.0  -75.0  7 UNGAVA PEN. QUE.      
  969.9618  200.0000    1.0000    1.0000
 2020.9752  200.0000    3.0000    1.0000
 3153.6864  200.0000    6.0000    2.0000
 4387.7405  200.0000   13.0000    3.0000
 5721.0440  200.0000   29.0000    4.3000
 6860.0804  200.0000   51.0000    7.6000
 7818.8277  200.0000  110.0000   16.4000
 109  53.0  -60.0  7 GOOSE BAY LAB.        
 1507.3256  200.0000    9.0000    1.3000
 2020.9752  200.0000   10.0000    1.4000
 2129.5630  200.0000   11.0000    1.6000
 3280.5126  200.0000   24.0000    3.6000
 5521.4264  200.0000   30.0000    4.5000
 6112.2547  200.0000   33.0000    4.9000
 6860.0804  200.0000  110.0000   16.4000
 110  54.2  -58.0  7 HAMILTON INLET LAB.   
 2346.7385  200.0000    4.0000    1.0000
 2563.9141  200.0000    5.0000    1.0000
 4152.2443  200.0000    7.0000    1.0000
 5222.0000  200.0000    8.0000    1.1000
 5846.3668  200.0000   15.0000    2.2000
 6245.1986  200.0000   12.0000    1.8000
 9595.2420  300.0000   50.0000    7.4000
 111  63.0  -70.0  4 C. TANFIELD BAF.      
  969.9618  200.0000    1.0000    1.0000
 2020.9752  200.0000    2.0000    1.0000
 4387.7405  200.0000    6.0000    3.0000
 8857.1391  300.0000   80.0000   20.0000
 112  62.3  -66.3  6 JACKMAN SOUND BAF.    
 8857.1391  300.0000    9.5000    1.4000
 9081.2861  300.0000   29.0000    4.3000
 9193.3596  300.0000   20.0000    3.0000
 9456.3677  300.0000   46.0000    6.8000
 9595.2420  300.0000   38.0000    5.6000
10011.8649  500.0000   69.0000   10.3000
 113  62.8  -65.5  8 WARWICK SOUND BAF.    
 1296.5392  300.0000   -5.0000    1.0000
 9872.9906  300.0000   29.0000    4.3000
10011.8649  300.0000   17.0000    2.5000
10289.6135  300.0000   26.0000    3.9000
10428.4878  300.0000   15.0000    2.2000
10845.1107  300.0000   42.0000    6.2000
11678.3565  400.0000   73.0000   10.9000
12650.4765  400.0000   79.0000   11.8000
 114  63.7  -68.6  6 BURTON BAY BAF.       
 4544.6891  200.0000   15.0000    2.2000
 6980.7591  200.0000   15.0000    2.2000
 7699.0798  200.0000   27.0000    4.0000
 7902.5573  200.0000   26.0000    3.9000
 8264.3893  300.0000   43.0000    6.4000
 9081.2861  300.0000   95.0000   14.2000
 115  67.4  -65.0  3 MAKTAK FIORD BAF.     
  865.6364  200.0000    5.0000    1.0000
 6112.2547  900.0000   18.0000    2.7000
 7234.6788  200.0000   19.0000    2.8000
 116  67.5  -64.0  2 BROUGHTON IS. BAF.    
 6112.2547  500.0000   27.0000    4.0000
11400.6079  300.0000    3.0000    1.0000
 117  67.7  -65.4  5 NARPAING FIORD BAF.   
  533.4685  200.0000    1.0000    1.0000
 3799.0000  200.0000    4.0000    1.0000
 5621.2352  200.0000   11.0000    1.6000
 7699.0798  200.0000   18.0000    2.7000
 8857.1391  300.0000   47.0000    7.0000
 118  68.0  -66.0  2 OKOA FIORD BAF.       
 5521.4264  200.0000    9.0000    1.3000
 9317.4934  300.0000   49.0000    7.3000
 119  67.5  -66.0  2 NEOLUKSEAK FIORD BAF. 
 5521.4264  200.0000    8.0000    3.0000
 8737.7477  300.0000   40.0000    5.9000
 120  69.0  -68.7  4 HOME BAY BAF.         
 3916.7481  200.0000    5.0000    2.0000
 6980.7591  200.0000   24.0000    4.0000
 9193.3596  300.0000   75.0000   11.2000
 9317.4934  300.0000   75.0000   11.2000
 121  70.0  -68.0  4 INUGSUIN FIORD BAF.   
 6860.0804  200.0000    8.0000    4.0000
 7818.8277  200.0000   13.0000    4.0000
 8857.1391  300.0000   21.0000    4.0000
10150.7392  300.0000   28.0000    4.2000
 122  70.0  -71.5  6 SAM FORD FIORD BAF.   
 3153.6864  200.0000    7.0000    2.0000
 4387.7405  200.0000   12.0000    2.0000
 5721.0440  200.0000   19.0000    3.0000
 6860.0804  200.0000   28.0000    4.2000
 7818.8277  200.0000   41.0000    6.1000
 8857.1391  300.0000   60.0000    8.9000
 123  71.4  -74.6  3 CAMBRIDGE FIORD BAF.  
 8083.4733  200.0000   21.0000    3.1000
 8615.7850  300.0000   73.0000   10.9000
 8969.2126  300.0000   26.0000    3.9000
 124  72.3  -79.0  7 TAY SOUND BAF.        
 2020.9752  200.0000    3.0000    3.0000
 3153.6864  200.0000    6.0000    4.0000
 4387.7405  200.0000   15.0000    6.0000
 5721.0440  200.0000   30.0000    9.0000
 6860.0804  200.0000   45.0000   12.0000
 7818.8277  200.0000   63.0000   12.0000
 8857.1391  300.0000   87.0000   15.0000
 125  72.0  -80.0  6 MILNE INLET BAF.      
 3153.6864  200.0000   14.0000    5.0000
 4387.7405  200.0000   23.0000    7.0000
