 101  37.43  25.42 2 Mykonos-Kalafati                
 1077.0   45.0   -0.9    0.4
 3048.0   74.0   -3.4    0.4
 102  37.42  25.3  4 Mykonos-Ag.Ioannis
 1930.5   43.5   -1.8    0.3
 2168.5   76.5   -1.8    0.3
 2644.0   40.0   -1.0    0.3
 5247.0   75.0   -3.6    0.1
 103  37.48  25.35 3 Mykonos-Ag.Sostis
  550.0   37.0   -0.8    0.3               
 1304.0   26.0   -3.0    0.3               
 3727.2   52.0   -3.0    0.3               
 104  37.38  25.27 2 Delos-Fourni          
 1260.5   30.0   -2.0    0.3               
 2289.0   51.0   -2.0    0.3               
 105  37.43  25.2  3 Rhenia-Kormou Ammos   
 1181.0   41.0   -0.8    0.2               
 1735.0   46.0   -1.3    0.1               
 3825.5   51.0   -3.6    0.1               
 106  37.4   25.22 3 Rhenia-Steni     
  923.0   32.0   -2.0    0.1               
 1155.0   44.0   -1.1    0.5               
 2347.0   43.0   -3.5    0.1               
 107  37.4   25.23 2 Rhenia-Lazaret        
 1195.0   35.0   -1.5    0.1               
 2578.5   81.5   -3.0    0.2               
 108  37.04  25.1  1 Saliagos              
 9620.0   90.0   -5.5    0.1               
 109  36.97  25.01 1 Antiparos             
 3335.0  225.0   -3.0    0.1               
 110  36.88  25.60 1 Keros(Kavos Daskaleiou
 4510.0  500.0   -3.8    1.2               
 111  37.66  24.32 1 Kea(Aghia Irini)      
 3560.5   50.0   -3.8    1.0               
 112  37.11  25.38 1 Naxos.Grotta          
 3360.0  250.0   -2.5    0.5               
 114  36.75  24.50 1 Melos.Phylakopi       
 3360.0  250.0   -3.0    0.5               
 115  37.04  25.10 1 Antiparos             
 3360.0  250.0   -3.0    0.5               
 116  37.55  24.33 1 Kea(Karthaia)         
 2510.0  100.0   -3.7    0.2            
 117  37.60  24.27 1 Kea(Poiessa)
 2310.0  100.0   -2.7    0.2   
 118  37.67  24.35 1 Kea(Otzias)           
 2410.0  100.0   -2.2    0.2               
 119  37.83  24.93 1 Andros(Palaiopolis)   
 2275.0  200.0   -3.5    0.2               
 120 37.38   24.39 1 Kythnos-harbour    
 2275.0  200.0   -2.5    0.2               
 121  37.39  25.26 1 Delos(Flanc de la colline)      
 2186.5  146.0   -1.3    0.2               
 122  37.38  25.26 1 Delos             
 4420.0  100.0   -2.5    0.2               
 123  37.42  25.21 2 Rheinia               
 1918.0  238.0   -2.0    1.0               
 2410.0  100.0   -2.5    0.2               
 124  37.40  25.23 1 Mykonos               
 2410.0  100.0   -2.5    0.2               
 125  37.08  25.15 2 Paros.Paroikia  
    0.0    0.0   -2.5    0.5               
    0.0    0.0   -4.5    0.5               
 126  37.12  25.23 2 Paros.Naoussa bay     
    0.0    0.0   -1.5    0.5               
    0.0    0.0   -3.0    0.5      
 127  37.55  24.32 1 Kea(Karthaia)
 2260.5    0.0    0.0    0.0               
 128  37.08  25.15 1 Paros    
 1818.0  238.0   -0.5    0.5             
 129  36.73  24.41 2 Melos.Klima           
 1470.0  270.0    0.0    0.0               
 1543.0  143.0    0.0    0.0               
 130  36.72  24.53 1 Melos.Tria Pigadia    
 1810.0  130.0    0.0    0.0
 131  37.08  25.36 2 Naxos.St.Georgios
 1545.0  115.0   -0.8    0.2
 1205.0  145.0   -1.8    0.2
 132  37.08  25.37 2 Naxos.St.Georgios
 1670.0  130.0   -3.0    0.2
 7090.0  150.0   -4.8    0.2
 133  37.02  25.37 1 Naxos.Vigla                     
 1570.0  110.0   -1.7    0.2
 201  33.9   10.8  5 BORI JILIJ - CHEIKH Y
 2238.0   81.0    0.35   0.10
 3282.0   79.0    1.0    0.21
 3403.0   68.0    1.0    0.21
 4541.0  106.0    0.7    0.3
 6318.0   51.0    0.7    0.3
 202  33.74  10.73 1 HUMT ADJIM
 4833.0   33.0    0.4    0.68
 203  33.89  10.10 2 QUED MELLAH
 7492.0   81.0    0.0    0.07
 7661.0   85.0    0.0    0.07
 204  33.89  10.10 2 ZARAT
 5502.0   75.0    0.7    0.3
 5960.0   68.0    0.7    0.3
 205  33.74  10.56 4 EL GRINE
 5210.0   39.0    1.72   0.11
 5828.0   56.0    1.72   0.11
 6526.0   78.0    0.70   0.30
 7649.0   32.0    1.12   0.74
 206  33.59  11.06 1 LELLA MERIEM
 1993.0   45.0    0.25    0.1
 207  33.35  11.   5 SEBKHET EL MELAH-BAHIRET
 4795.0   78.0    0.7    0.3 
 6349.0  105.0    1.0    0.16
 6478.0  207.0    0.8    0.16
 6731.0   68.0    0.70   0.30
 7243.0  130.0    2.00   0.2
 208  33.9   10.8  2 SE TUNISIA (DJERBA)
 1851.0  101.0    0.0    3.0
 5351.0  151.0    0.7    3.0
