#
# ----------------------------------------------------------------------------- 
# This file "rlr-trends.txt", containing the rates of sea level change from
# the PSMSL stations worldwide. With respect to the original file, which can
# be downloaded from http://www.nerc-liv.ac.uk/psmsl/datainfo/rlr.trends, I 
# have added these lines and a "#" in the first column of the header. SELEN 
# counts the number of available sites, and extracts the information needed.    
# Last change GS January 8, 2008.  
# ----------------------------------------------------------------------------- 
# 
#
# Last update 22 January 2007
#
# Table of MSL Secular Trends derived from PSMSL RLR Data
# =======================================================
#
# The columns of the table indicate PSMSL country/station code, GLOSS code if
# a GLOSS station, number of years of data used to compute the trend, range
# of years used, trend and standard error in mm/year, standard deviation of
# the residual variability about the fitted trend line in mm, latitude and
# longitude and station name.
#
# The stations are ordered in PSMSL country/station code order. This starts
# essentially in northern Europe, and progresses around the world coastline in
# an eastward direction, to north-eastern Canada and Greenland. Finally, the
# small number of Antarctic stations are included. See the file
# http://www.pol.ac.uk/psmsl/pub/indexb.dat
# for a full list of PSMSL country and station codes.
#
# Please note that these are observed MSL trends without any correction for
# vertical land movement.
#
 190/141      24  1966 - 1996     1.52 +/-  0.69    31.0   43 24 N  01 41 W   SOCOA/ST JEAN DE LUZ          
 200/001      13  1948 - 1962     5.28 +/-  2.39    35.5   43 19 N  01 55 W   PASAJES                       
 200/006      12  1993 - 2005     2.99 +/-  1.08    14.1   43 20 N  03 02 W   BILBAO                        
 200/011      47  1944 - 2001     2.18 +/-  0.41    45.9   43 28 N  03 48 W   SANTANDER I                   
 200/012      10  1963 - 1974    -2.94 +/-  4.14    42.3   43 28 N  03 46 W   SANTANDER II                  
 200/013      13  1993 - 2005     2.36 +/-  1.14    15.3   43 28 N  03 47 W   SANTANDER III                 
 200/022       4  1996 - 2004     2.50 +/-  1.34     7.9   43 34 N  05 42 W   GIJON II                      
 200/030 243  50  1944 - 2000     1.25 +/-  0.33    37.8   43 22 N  08 24 W   LA CORUNA I                   
 200/031 243  30  1955 - 1997     0.45 +/-  0.51    32.5   43 22 N  08 24 W   LA CORUNA II                  
 200/032 243  10  1993 - 2005     0.49 +/-  2.71    34.8   43 22 N  08 23 W   LA CORUNA III                 
 200/036       6  1998 - 2005     2.54 +/-  6.21    36.7   42 36 N   8 46 W   VILLAGARCIA                   
 200/041      56  1944 - 2001     2.60 +/-  0.34    43.5   42 14 N  08 44 W   VIGO                          
 200/042       7  1997 - 2005    -2.07 +/-  3.66    27.3   42 15 N   8 44 W   VIGO II  
 210/011       6  1978 - 1984     3.02 +/-  4.78    24.8   41 41 N  08 50 W   VIANA                             
 210/013       9  1979 - 1995    -2.66 +/-  1.73    28.2   40 39 N  08 45 W   AVEIRO                        
 210/021 246  97  1882 - 1993     1.22 +/-  0.10    31.2   38 41 N  09 25 W   CASCAIS                       
 210/023      12  1972 - 1984     0.08 +/-  1.67    20.8   38 42 N  09 08 W   LISBON                        
 210/026      13  1977 - 1996     1.52 +/-  0.92    20.7   38 30 N  08 54 W   SETROIA                       
 210/028       8  1978 - 1991     1.07 +/-  1.28    13.4   37 57 N  08 53 W   SINES                         
 210/031      61  1909 - 1987     1.35 +/-  0.18    30.9   37 06 N  08 40 W   LAGOS                         
 220/002      10  1977 - 1987    -0.56 +/-  2.53    26.0   36 32 N  06 19 W   CADIZ II                      
 220/003      34  1961 - 2000     4.53 +/-  0.69    46.4   36 32 N  06 17 W   CADIZ III                     
 220/005       7  1998 - 2005     7.08 +/-  3.40    22.0   37  8 N   6 50 W   HUELVA                        
 220/008      10  1993 - 2004     7.59 +/-  2.10    24.9   36 48 N   6 20 W   BONANZA                       
